,시장베이시스,이론베이시스,괴리율,원위안 야간변동율,원엔 야간변동율,kospi 당일변동율,kospi 야간변동율,ks200 당일변동율,ks200 야간변동율,nas 야간변동율,nas 당일변동율,P/C Ratio,CALL_vol_change(%),PUT_vol_change(%),CALL_vol_fluc,PUT_vol_fluc,snp 야간변동율,snp 당일변동율,원달러 야간변동율,VIX 전날변동율,VIX 당일변동율,VKOSPI_Label
2023-03-10,-0.09,0.03,-0.24,0.047,0.034,-0.53,-1.21,-0.42,-1.239,-2.05,-2.072,0.89,10.693,12.358,154267.0,156144.0,-1.85,-2.009,0.023,18.32,16.968,0.0
2023-03-13,0.7,1.95,-0.4,-0.026,0.056,-1.01,0.245,-1.08,0.361,-1.76,-1.646,1.01,-64.421,-59.486,-1028813.0,-844513.0,-1.45,-1.308,-0.086,9.69,6.255,0.0
2023-03-14,0.94,1.88,-0.3,0.042,0.04,0.67,-0.84,0.82,-0.967,0.45,1.335,1.03,5.681,7.303,32277.0,42005.0,-0.15,0.538,0.028,6.94,10.27,1.0
2023-03-15,1.32,1.78,-0.15,0.079,0.034,-2.56,1.325,-2.44,1.365,2.14,0.62,1.13,-6.006,3.029,-36063.0,18694.0,1.68,0.682,0.03,-10.52,-11.62,0.0
2023-03-16,1.0,1.78,-0.25,0.037,0.037,1.31,-0.914,1.15,-1.045,0.05,1.265,0.97,-0.888,-14.659,-5010.0,-93210.0,-0.73,0.392,0.026,10.16,12.624,0.0
2023-03-17,1.21,1.74,-0.17,0.101,0.096,-0.08,1.085,-0.23,1.235,2.48,2.92,1.09,14.209,28.585,79489.0,155117.0,1.76,2.097,0.076,-12.05,-12.218,0.0
2023-03-20,1.33,1.75,-0.13,0.079,-0.455,0.75,-0.159,1.19,-0.154,-0.74,-0.563,0.98,-12.177,-21.074,-77797.0,-147047.0,-1.1,-1.062,0.056,10.96,11.3,1.0
2023-03-21,0.51,1.64,-0.36,-0.016,0.071,-0.69,0.729,-0.83,0.766,0.39,0.527,0.99,-12.698,-11.829,-71247.0,-65145.0,0.89,0.87,-0.038,-5.33,-13.036,0.0
2023-03-22,1.49,1.61,-0.04,0.053,0.05,0.38,0.959,0.28,0.957,1.58,0.81,0.94,-7.399,-12.31,-36244.0,-59775.0,1.3,0.679,0.031,-11.47,-11.507,0.0
2023-03-23,1.29,1.61,-0.1,-0.016,0.085,1.2,-0.773,1.21,-0.828,-1.6,-1.582,1.07,-6.095,7.288,-27649.0,31035.0,-1.65,-1.626,-0.021,4.12,2.11,0.0
2023-03-24,0.35,1.59,-0.39,0.048,0.05,0.31,-0.132,0.52,-0.184,1.01,-0.203,1.21,25.5,41.173,108622.0,188095.0,0.3,-0.265,0.034,1.57,4.968,0.0
2023-03-27,1.0,1.55,-0.17,0.053,0.238,-0.39,0.372,-0.46,0.169,0.31,0.65,0.93,5.916,-18.403,31624.0,-118689.0,0.56,0.807,0.045,-3.85,-1.673,0.0
2023-03-28,1.4,1.43,-0.01,0.053,0.036,-0.24,0.393,-0.46,0.416,-0.47,-0.84,0.9,29.802,26.153,168743.0,137629.0,0.16,-0.136,0.033,-5.24,-6.576,0.0
2023-03-29,1.09,1.42,-0.1,0.042,0.06,1.07,-0.095,1.12,-0.215,-0.45,-0.312,1.21,-27.128,-2.664,-199377.0,-17683.0,-0.16,-0.072,0.032,-3.06,-2.728,0.0
2023-03-30,0.89,1.4,-0.16,0.153,0.06,0.37,0.37,0.21,0.473,1.79,0.596,1.16,-12.758,-16.235,-68326.0,-104910.0,1.42,0.707,0.14,-4.26,-1.392,0.0
2023-03-31,1.85,2.19,-0.11,0.048,0.037,0.38,0.276,0.33,0.487,0.73,0.025,1.07,61.353,48.917,286672.0,264783.0,0.57,0.101,0.032,-0.52,-0.523,0.0
2023-04-03,1.67,2.19,-0.16,0.047,-0.096,0.97,0.361,1.25,0.357,1.74,1.582,1.01,-3.922,-9.261,-29567.0,-74646.0,1.44,1.31,0.028,-1.68,-2.655,0.0
2023-04-04,1.72,2.08,-0.11,0.021,0.05,-0.18,0.143,-0.51,0.184,-0.27,0.357,1.07,-11.483,-6.262,-83178.0,-45804.0,0.37,0.544,0.014,-0.8,-6.266,0.0
2023-04-05,1.95,2.06,-0.03,0.063,0.046,0.33,0.085,0.43,0.09,-0.52,-0.673,1.08,-1.977,-1.047,-12675.0,-7175.0,-0.58,-0.664,0.035,2.43,1.118,1.0
2023-04-06,2.19,2.04,0.05,0.052,0.036,0.59,-0.289,0.56,-0.368,-1.07,-0.703,1.13,-7.843,-3.435,-49291.0,-23306.0,-0.25,-0.101,0.024,0.42,-1.751,1.0
2023-04-07,1.93,1.97,-0.01,0.047,0.048,-1.44,0.789,-1.77,1.092,-1.07,-0.703,0.96,60.01,36.46,347586.0,238864.0,-0.25,-0.101,0.037,-3.56,-4.663,0.0
