현재가,거래량,체결시간,시가,고가,저가,대업종구분,소업종구분,종목정보,전일종가
-252071,21058,20230921123000,+252233,+252312,+251969,,,,
-252177,17365,20230921120000,+252480,+252525,+252154,,,,
-252446,25978,20230921113000,+252878,+252878,+252375,,,,
-252833,27841,20230921110000,+253056,+253162,+252768,,,,
-252995,30648,20230921103000,+252780,+253403,+252721,,,,
-252860,38121,20230921100000,+253195,+253367,+252744,,,,
-253274,43647,20230921093000,+254485,+254485,+253146,,,,
-254463,72811,20230921090000,+254481,+254963,+254199,,,,
+255974,16571,20230920153000,+255977,+256042,+255956,,,,
+255977,20718,20230920150000,-255513,+256046,-255513,,,,
-255612,25850,20230920143000,-255147,+255810,-255147,,,,
-255232,25921,20230920140000,+255313,+255402,+255112,,,,
-255409,22400,20230920133000,+255443,+255574,+255261,,,,
-255430,21422,20230920130000,+255519,+255700,+255428,,,,
-255533,21639,20230920123000,+255815,+255961,+255421,,,,
-255817,15850,20230920120000,-255537,+255922,-255512,,,,
-255457,20547,20230920113000,+255549,+255727,+255427,,,,
-255426,20710,20230920110000,+255522,+255703,+255346,,,,
-255516,25661,20230920103000,+255829,+255910,+255487,,,,
-255805,35866,20230920100000,+256000,+256109,-255658,,,,
+256128,57350,20230920093000,+256192,+256662,+255981,,,,
+256129,84163,20230920090000,-255655,+256589,-255530,,,,
-255921,14015,20230919153000,+255938,+255938,+255837,,,,
-255938,25035,20230919150000,+255784,+255956,+255749,,,,
-255865,35922,20230919143000,+255784,+255919,+255546,,,,
-255798,21215,20230919140000,+256085,+256162,+255625,,,,
-256047,24204,20230919133000,+256242,+256242,+255986,,,,
-256212,33594,20230919130000,+256256,+256425,+256119,,,,
-256371,22349,20230919123000,+256435,+256690,+256230,,,,
-256467,18691,20230919120000,+256429,+256638,+256310,,,,
-256329,19496,20230919113000,+256694,+256779,+256122,,,,
-256769,22841,20230919110000,+256938,+257127,+256655,,,,
-256965,31125,20230919103000,+256775,+257156,+256655,,,,
-256796,38307,20230919100000,+257132,+257247,+256770,,,,
-257129,45830,20230919093000,+257984,+258325,+257056,,,,
+258060,109718,20230919090000,+257936,+258307,-257445,,,,
-257472,20697,20230918153000,+257597,+257597,+257326,,,,
-257597,33906,20230918150000,+257535,+257808,+257422,,,,
-257518,32053,20230918143000,+257498,+257768,+257475,,,,
-257593,35902,20230918140000,+257727,+257974,+257457,,,,
-257813,36838,20230918133000,+257918,+258035,+257684,,,,
-258012,21047,20230918130000,+257869,+258092,+257757,,,,
-257909,14764,20230918123000,+257825,+258027,+257758,,,,
-257862,14082,20230918120000,+257925,+258028,+257602,,,,
-257958,20889,20230918113000,+258165,+258237,+257829,,,,
-258111,20090,20230918110000,+258324,+258508,+258093,,,,
-258195,22744,20230918103000,+258638,+258638,+258119,,,,
-258519,27701,20230918100000,+258576,+258986,+258491,,,,
-258643,38884,20230918093000,+258692,+259116,+258511,,,,
-258701,76693,20230918090000,+258869,+259655,+258467,,,,
+260128,49488,20230915153000,+260130,+260234,+260128,,,,
+260130,23367,20230915150000,+260411,+260526,+259967,,,,
+260383,23870,20230915143000,+260259,+260529,+260208,,,,
+260360,25217,20230915140000,+260638,+260720,+260090,,,,
+260689,21911,20230915133000,+260679,+261100,+260585,,,,
+260677,19239,20230915130000,+260644,+260788,+260397,,,,
+260684,19460,20230915123000,+260433,+260695,+260192,,,,
+260537,17206,20230915120000,+260290,+260720,+260192,,,,
+260309,20233,20230915113000,+260429,+260459,+260144,,,,
+260436,31003,20230915110000,+259877,+260437,+259691,,,,
+259751,38661,20230915103000,+259529,+259757,+259002,,,,
+259613,35284,20230915100000,+259097,+259736,+259030,,,,
+259120,41841,20230915093000,+258130,+259271,+258117,,,,
+258144,74950,20230915090000,+257498,+258339,-257237,,,,
+257289,43773,20230914153000,+256432,+257289,+256432,,,,
+256432,22906,20230914150000,+256363,+256520,+256139,,,,
+256408,25671,20230914143000,+256202,+256500,+256070,,,,
+256261,17530,20230914140000,+255981,+256285,+255887,,,,
+255947,19420,20230914133000,+256344,+256389,+255868,,,,
+256285,27076,20230914130000,+255620,+256301,+255620,,,,
+255759,17409,20230914123000,+255758,+256052,+255562,,,,
+255854,14948,20230914120000,+255334,+255857,+255334,,,,
+255305,13703,20230914113000,+255450,+255667,+255225,,,,
+255463,22883,20230914110000,+255748,+255808,+255219,,,,
+255672,34291,20230914103000,+255226,+255992,+255226,,,,
+255362,52584,20230914100000,+254859,+255392,+254751,,,,
+254729,36969,20230914093000,+254636,+254897,+254485,,,,
+254665,63346,20230914090000,+254489,+254896,+254111,,,,
-253470,15489,20230913153000,+253361,+253470,+253315,,,,
-253361,21072,20230913150000,+253545,+253649,+253210,,,,
-253548,22518,20230913143000,+253537,+253617,-253149,,,,
-253591,17446,20230913140000,+253919,+253954,-253487,,,,
+253877,18526,20230913133000,-253280,+253895,-253158,,,,
-253313,18805,20230913130000,+253121,+253571,-252843,,,,
-253058,21452,20230913123000,+253345,+253396,+252954,,,,
-253253,22131,20230913120000,+253328,+253415,+253084,,,,
-253239,27675,20230913113000,+253094,+253441,+252931,,,,
-253103,31656,20230913110000,+253521,+253758,+252818,,,,
-253368,40033,20230913103000,+254217,+254217,+253255,,,,
+254177,36235,20230913100000,+254531,+254674,+254062,,,,
+254661,41830,20230913093000,+254386,+254938,+254277,,,,
+254280,82708,20230913090000,-253622,+254485,-253531,,,,
-253658,13249,20230912153000,+253885,+253885,+253656,,,,
-253885,24482,20230912150000,+253968,+253968,+253515,,,,
-253865,24540,20230912143000,+254393,+254425,+253860,,,,
-254236,32780,20230912140000,+254065,+254437,+253989,,,,
-254068,19644,20230912133000,+254129,+254331,+253917,,,,
-254154,15614,20230912130000,+254420,+254526,+254104,,,,
-254348,13857,20230912123000,+254236,+254544,+254079,,,,
-254224,20089,20230912120000,+254615,+254660,+254150,,,,
-254575,17021,20230912113000,+254557,+254749,+254332,,,,
-254534,22255,20230912110000,+254301,+254858,+254173,,,,
-254308,24521,20230912103000,+254608,+254662,+254061,,,,
